Date,Open,High,Low,Close
1/19/2016,84.169998,84.75,80.790001,81.510002
1/20/2016,79.980003,80.309998,75.330002,78.980003
1/21/2016,78.800003,81.650002,78.019997,81.050003
1/22/2016,84.459999,85.190002,81.720001,83.540001
1/25/2016,82.290001,84.290001,80.800003,80.889999
1/26/2016,81.970001,84.5,81.349998,84.120003
1/27/2016,83.949997,86.099998,82.360001,83.290001
1/28/2016,85.75,86.690002,83.699997,85.919998
1/29/2016,84.050003,86.709999,82.949997,86.470001
2/1/2016,85.150002,86.089996,84.239998,85.290001
2/2/2016,82.709999,83.040001,80.959999,81.239998
2/3/2016,82.389999,84.629997,79.849998,84.620003
2/4/2016,84.589996,86.190002,83.830002,84.790001
2/5/2016,83.940002,84.290001,82.260002,82.879997
2/8/2016,81.760002,86.699997,81.099998,85.989998
2/9/2016,85.080002,85.790001,82.169998,82.919998
2/10/2016,82.769997,83.900002,81.5,83.040001
2/11/2016,81.599998,83.660004,80.639999,82.989998
2/12/2016,83.800003,85.580002,83.199997,85.43
2/16/2016,85.230003,85.389999,83.309998,84.809998
2/17/2016,85.410004,88.660004,85.019997,88.309998
2/18/2016,88.75,89.25,86.610001,86.730003
2/19/2016,86.330002,86.540001,84.800003,86.5
2/22/2016,86.5,89.839996,86.5,88.82
2/23/2016,88.389999,88.480003,84.699997,84.910004
2/24/2016,83.330002,85.489998,82.900002,85.269997
2/25/2016,85.669998,85.709999,83.739998,85.300003
2/26/2016,86.970001,87.099998,84.279999,84.349998
2/29/2016,84.940002,85.199997,83.07,83.440002
3/1/2016,84.120003,86.529999,83.370003,86.129997
3/2/2016,85.400002,87.18,84.400002,87.139999
3/3/2016,87,87.57,86.050003,87.529999
3/4/2016,87.419998,88.620003,86.699997,87.93
3/7/2016,87.940002,90.760002,87.550003,90.669998
3/8/2016,90.379997,91.080002,88.330002,88.739998
3/9/2016,89.699997,94.639999,89.470001,92.82
3/10/2016,92.790001,93.949997,92.019997,93.940002
3/11/2016,94.949997,96.139999,93.379997,94.580002
3/14/2016,93.57,94.830002,93.089996,94.260002
3/15/2016,93.150002,94.400002,92.25,94.269997
3/16/2016,94.720001,96.139999,93.720001,95.400002
3/17/2016,96.25,97.739998,95.290001,96.889999
3/18/2016,97.849998,97.910004,95.860001,97.690002
3/21/2016,97.019997,97.540001,95.910004,96.440002
3/22/2016,95.75,96.910004,95.32,95.5
3/23/2016,94.720001,94.809998,93.040001,93.589996
3/24/2016,92.540001,94.940002,92.25,94.849998
3/28/2016,94.900002,95.080002,94,94.68
3/29/2016,93.790001,95.389999,92.940002,95.32
3/30/2016,96.349998,96.690002,95.160004,95.25
3/31/2016,95.190002,96.199997,94.949997,95.400002
4/1/2016,93.690002,94.779999,93.32,94.260002
4/4/2016,94.440002,94.480003,93.040001,93.43
4/5/2016,93,93.349998,92.43,92.669998
4/6/2016,93.150002,95,92.82,94.839996
4/7/2016,94.370003,95.029999,94.080002,94.790001
4/8/2016,96.25,96.870003,95.760002,96.330002
4/11/2016,96.870003,97.300003,95.150002,95.239998
4/12/2016,95.690002,97.940002,95.43,97.510002
4/13/2016,97.800003,97.910004,97.029999,97.599998
4/14/2016,97.650002,98.269997,97.360001,97.980003
4/15/2016,97.709999,97.800003,96.959999,97.230003
4/18/2016,97.230003,98.760002,95.519997,98.699997
4/19/2016,99,100.529999,98.160004,100.5
4/20/2016,100.080002,102.540001,99.839996,101.690002
4/21/2016,101.639999,102.800003,101.110001,101.400002
4/22/2016,101.739998,102.5,101.5,102.010002
4/25/2016,101.470001,101.769997,100.830002,101.510002
4/26/2016,102.050003,102.980003,101.709999,102.290001
4/27/2016,102.900002,103.940002,102.379997,103.849998
4/28/2016,103.129997,104.260002,102.050003,102.400002
4/29/2016,101.139999,102.629997,100.610001,102.18
5/2/2016,101.830002,103.849998,101.800003,103.309998
5/3/2016,102.260002,102.349998,101.050003,101.32
5/4/2016,101.059998,102.300003,100.389999,100.589996
5/5/2016,101.849998,102.599998,100.860001,101.419998
5/6/2016,100.839996,102.699997,100.839996,101.860001
5/9/2016,101.620003,101.800003,99.080002,100.349998
5/10/2016,100.639999,101.290001,100.410004,101.269997
5/11/2016,101.239998,101.739998,100.150002,101.139999
5/12/2016,102.150002,102.419998,101.080002,102.120003
5/13/2016,101.629997,102.040001,100.360001,100.739998
5/16/2016,101.870003,102.599998,101.400002,102.290001
5/17/2016,101.07,102.18,100.339996,100.75
